gene_id	SRR8239989	SRR8239990	SRR8239991	SRR8239992	SRR8239993	SRR8239994	SRR8239995	SRR8239996	SRR8239997	SRR10357366	SRR10357367	SRR10357368	SRR10357369	SRR10357370	SRR10357371	SRR10357372	SRR10357373	SRR10357374	SRR10357375	SRR10357376	SRR10357377	SRR10357378	SRR10357379	SRR10357380	SRR10357381	SRR10357382	SRR10357383	SRR10357384	SRR10357385	SRR10357386	SRR10357387	SRR10357388	SRR10357389	SRR10357390	SRR10357391	SRR10357392	GSM4432378	GSM4432379	GSM4432380	GSM4432381	GSM4432382	GSM4432383	GSM4432384	GSM4432385	GSM4432386	GSM4432387	GSM4432388	GSM4432389	GSM432030	GSM432031	GSM432032	GSM432033	GSM432034	GSM432209	GSM432210	GSM432211	GSM432212	GSM432213	GSM432241	GSM432331	GSM432332	GSM432333	GSM432360	GSM432361	GSM432393	GSM432394	GSM823177	GSM823178	GSM823179	GSM823180	GSM823181	GSM823182	GSM823183	GSM823184	GSM823185	GSM823186	GSM823187	GSM823188	GSM823189	GSM823190	GSM823191	GSM823192	GSM823193	GSM823194	GSM823195	GSM823196	GSM823197	GSM823198	GSM823199	GSM823200	GSM823201	GSM823202	GSM823203	GSM823204	GSM823205	GSM823206	GSM823207	GSM823208	GSM823209	GSM823210	GSM823211	GSM823212	GSM823213	GSM823214	GSM823215	GSM823216	GSM823217	GSM823218	GSM823219	GSM823220	GSM823221	GSM823222	GSM823223	GSM823224	GSM823225	GSM823226	GSM823227	GSM823228	GSM823229	GSM823230	GSM823231	GSM823232	GSM823233	GSM823234	GSM823235	GSM823236	GSM823237	GSM823238	GSM823239	GSM823240	GSM823241	GSM823242	GSM1096511	GSM1096512	GSM1096513	GSM1096514	GSM1096515	GSM1096516	GSM1096517	GSM1096518	GSM1096519	GSM1096520	GSM1096521	GSM1096522	GSM1096523	GSM1096524	GSM1096525	GSM1096526	GSM1096527	GSM1096528	GSM1096529	GSM1096530	GSM1096531	GSM1096532	GSM1096533	GSM1096534	GSM1096535	GSM1096536	GSM1096537	GSM1096538	GSM1096539	GSM1096540	GSM1096541	GSM1096542	SAMN02689047	SAMN02689051	SAMN02689052	SAMN02689053	SAMN02689055	SAMN02689056	SAMN02689135	SAMN02689136	SAMN02689137	SAMN02689138	SAMN02689139	SAMN02689142	SAMN02689146	SAMN02689147	SAMN02689148	SAMN02689157	SAMN02689158	SAMN02689161	SAMN02689162	SAMN02689163	SAMN02689191	SAMN02689265	SAMN02689319	SAMN02689416	SAMN02689489	GSM1366711	GSM1366712	GSM1366713	GSM1366714	GSM1366715	GSM1366716	GSM1366717	GSM1366718	GSM1366719	GSM1366720	GSM1366721	GSM1366722	GSM1366723	GSM1366724	GSM1366725	GSM1366726	GSM1366727	GSM1366728	GSM1366729	GSM1366730	GSM1366731	GSM1366732	GSM1366733	GSM1366734	GSM1366735	GSM1366736	GSM1366737	GSM1366738	GSM1366739	GSM1366740	GSM1366741	GSM1366742	GSM1366743
C1orf112	16.365943863671	16.5104289685484	16.6992229926226	17.0297933696644	17.2506871727851	16.6537780583844	15.9467119619291	16.073475846347	16.198821963335	17.9740751519073	17.9824650817	18.0033901574374	17.8605355667078	17.6670470212949	17.7153845820717	18.0991564299843	18.0633781227612	17.6645678909427	16.4566738499267	16.9167610128601	11.359441171097	17.0767491732829	17.7237439651476	17.914599797906	17.8851035865141	17.9299948984906	17.8314302596138	16.9286754577329	16.2234236521775	16.6065795913714	16.3589898896603	16.1700734506366	16.251423924431	17.3057983803645	17.645910512457	17.3019699981573	13.8182893124733	13.7286630285415	13.7847066903502	14.2804967790546	14.0014013318934	14.0074512997534	15.7690970969252	15.8744640086722	15.6391125318302	15.8148720177267	15.5815987418221	15.7566579678039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.7107327140799	15.5168669682291	15.8327432293425	15.6831767604111	15.8150545276478	15.2540194547582	15.1770215080704	15.5553567327476	15.6117351698209	15.3492339533414	15.3586527965413	15.4098676955992	15.1936042120747	14.4632907938631	15.0052722604917	15.2523503958058	15.2375008985723	14.9318451087617	14.5028086445156	14.553666818803	15.0724987997207	15.225263959869	15.0683924230136	14.6386946679631	14.654061301727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFH	12.4246752017644	12.260147870717	11.4497827566557	11.210721545211	10.8209856852712	11.3422326472055	12.5564595928086	12.1235425728284	11.6896867195006	12.1025110076618	12.0501423773052	11.9652395210719	13.342062399556	12.5095512315	11.7198212709099	13.298710956512	13.6820146409815	12.7946636121188	11.359441171097	16.7584609613591	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	19.133517043188	11.8827752137807	11.7458185380362	12.2546009173889	13.2140870125838	14.2580679907655	11.5245490127895	14.6064579949884	12.6796475484738	13.9532673404364	17.7174434623423	17.754448536445	17.8197870512355	18.0635605053294	17.8963768689865	17.9890194790825	16.1469437313709	16.1319145032229	15.2444431996905	16.6756058339127	16.4246127794163	16.3099372407717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.8390986530601	15.8232209182295	15.7137745677473	16.0386215669244	15.993290137075	16.3167996563616	16.3947841768386	15.9382798324247	16.0725505939974	15.5041327519857	15.952045859112	15.9125877535801	16.4001009450591	16.5227443939985	16.1955097503029	16.4720747846293	16.8580170492756	16.5071817451688	16.8285459302197	16.7690642896247	16.7629981756072	16.8602238405749	16.9150723209709	17.3221214870538	17.0034733400297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPM1	17.9068442682515	18.1102455466673	18.1125899417711	16.9313618050716	16.8256198654395	16.5783210046315	17.8910594935666	17.9815912733742	17.9517468753538	18.0574077035625	17.8238221380609	17.9097319202109	17.2516628375821	17.5737210415374	17.5025111492674	16.5619080006742	16.5598861874481	16.731074851933	19.7068657643776	18.2688571278449	18.3969457927733	19.5500141816126	17.635353294789	11.359441171097	11.359441171097	11.359441171097	16.5122817331577	17.2374854519542	16.9441655497138	16.3494281056843	16.2677749776094	15.8292492056677	16.5063044014444	18.0327228956643	18.0634530060251	17.8465705989295	17.1437180974666	16.9708924589839	17.2276344233855	17.4159793868983	17.2407421349907	17.2014499170896	16.7287445924949	16.8209631218411	16.6523053593463	16.8114041046793	16.8740648873796	16.9023436465645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.0181946490792	16.7386910805096	17.0195942848685	17.0347966313871	17.0278861140361	17.0746215548488	17.1453731949617	17.0595862135836	16.9472609870172	16.9622245693783	16.7582196519125	16.8148195852324	16.998449442358	17.4834081330326	16.9801906884086	17.2895891423022	17.4216077714172	17.3209670876158	17.3415456517418	17.4442782504434	17.1711106092636	17.1587744568384	17.0457194420238	17.5366414711448	17.515126534819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGR	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.4444403284548	11.359441171097	11.9418912911316	12.2933303537442	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	16.2100259972879	14.104200210419	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.6138670205402	11.359441171097	9.89190944534252	9.14832019942143	9.30228770917301	9.69187999293683	9.72285419340809	9.69352570088067	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	9.66255671241462	8.75370532696864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.37947739923122	7.37947739923122	8.95763356487688	10.8178739744711	9.25059661678402	7.37947739923122	7.37947739923122	7.37947739923122	8.12070506680837	7.37947739923122	8.17786795585869	8.73115450872749	7.37947739923122	7.94644595806372	7.93929046722316	7.37947739923122	7.60948410704568	7.63609899456606	7.65253416683941	8.75216273272435	8.50036516106271	8.47381481556181	7.37947739923122	7.62301294951737	7.37947739923122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FUCA2	17.4381239372026	17.4995014169541	17.4032877607425	18.0479683072536	17.9971734975705	18.0376115679277	17.4679979372449	17.4352472840694	17.6408874125886	19.2104055488552	19.0294588495377	19.4433582715963	18.8376611820771	18.9408504527554	19.0272600586999	19.128335843637	18.9620598559648	18.8231681384559	16.4766534716437	15.6756204971921	11.359441171097	11.359441171097	16.4643390882101	11.359441171097	13.795320573207	11.359441171097	16.5718000343475	15.8040999894661	16.019474303846	15.7770767863299	16.0956702464433	16.2745270958868	16.5317588233753	16.7607735449271	16.9855379107719	16.9585066341811	16.6581105586429	16.7740802069374	16.6464666996883	16.9458688010744	17.0514970718283	17.0711823829154	17.7812912488768	17.7860968728874	17.9128373023101	17.4780156025839	17.7696073910775	17.8901382237991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.4757027100352	18.7508176222773	18.6770421437677	18.6431812900758	18.6621074029499	18.6436446503952	18.6357909214107	19.274335664521	18.7088982681299	18.8561274526109	18.8389382382994	19.1514312950623	18.6104272954367	18.6474054808167	18.72885825544	18.6184324886911	18.6114025024634	18.7425042063938	18.6178730005484	18.6649583824531	18.624175889714	18.6537371281644	18.593748098886	18.5255033391853	18.49055347786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCLC	17.2352375531521	17.1674984964318	17.2324960563363	17.0922698710095	17.4172606246395	17.0799041019578	17.6795619506454	17.5927653417095	17.9102453014932	17.1278907259782	16.8667625886715	16.6260888283695	17.5837579948512	17.9935875156259	17.7967914138095	16.952100190329	16.8551403265615	17.0709295514037	11.359441171097	17.059309424318	17.5476209645165	16.2392453598691	16.6776916050212	17.5010436465012	17.5476209645165	16.3090837425653	17.6148489936845	17.4945394417059	17.4924011007693	17.6411556663671	17.6503241318123	17.6078183492679	17.6671386018192	17.5169096794431	17.8429036765779	17.3325435120223	18.7244641514037	18.7289028577427	18.7674311466459	18.6899796181618	18.6701722656497	18.7080760275327	18.4984910021176	18.2502839706932	18.5248461959344	18.1260983294684	18.4720228524223	18.4407910761627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.660461094518	16.5494854240348	17.0530479954922	16.6888903401677	16.9407616900791	17.1495288534	17.1149824237302	16.9233749134946	16.9266496298993	16.6006803091578	16.5319866998009	16.9542143485061	17.3556971605748	17.0472071300853	17.1068841614022	17.041255867427	17.1197499174986	16.6886398337381	17.3295055378859	16.6223379910052	17.1419881685693	17.2242076586828	17.3801887688162	17.4743643929745	17.2974714723065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCYL3	15.7190536989162	15.6390623583614	15.8248628264161	17.0628586434588	17.1304729284958	16.8433074555188	15.6939445460822	15.8061535288423	15.8245747301547	15.9213651085098	15.8832393910062	15.7885963326174	16.0257536044661	15.9333417993106	16.03599281605	17.1070786658944	17.5523166786725	17.2906287084295	16.1898398132803	16.951168430506	11.359441171097	17.5530966288851	11.359441171097	14.8726572031036	16.321545077239	16.038154012237	15.4099327675437	16.4818374737762	16.489307188941	16.0332003363855	16.0042527092977	16.1874108800493	15.9510857830079	16.4146965757585	16.468458400254	16.95189415949	14.9913124564962	14.6418558351184	14.6134190680045	15.1321212473289	15.2916401087925	15.1551983270304	14.7862567475474	14.7777300411496	14.8341649136655	14.7470883331502	14.9397186996058	14.6096551721421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.4593055220137	15.8851363783055	16.9776140308644	17.0339272571978	16.9535039861216	15.1830897529974	15.2699802611159	15.6296163345947	17.0171389016426	17.1013227382784	15.950379691789	17.1711763475183	15.1741463337316	15.164775095997	15.1404015907993	15.1514891648086	15.1681272451272	14.9758963092692	15.2643356192537	15.0632044829654	15.170359631397	15.2880593942867	15.2907722706563	15.3988029737142	15.113482260301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNMD	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	8.80510925230856	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	13.4093459363632	16.0360011136322	11.359441171097	11.359441171097	11.359441171097	11.359441171097	11.359441171097	12.9795152909174	11.359441171097	11.359441171097	11.359441171097	11.359441171097	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	8.75370532696864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	8.21609633341283	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.37947739923122	7.76018203323681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSPAN6	18.1610586729371	18.1572862807145	18.146974941144	16.892958369958	17.1931996320958	16.6770299432954	18.0051430141811	17.836496808392	18.1091013192596	18.372360323816	18.3822753303249	18.2490789828903	17.6896175629159	17.9029450585419	17.700600589983	16.3575883305976	16.2620121494341	16.6679572469353	19.0342621983172	19.5328912884655	19.22768557529	17.0631035230027	19.612855892485	11.359441171097	11.359441171097	11.359441171097	18.3992318012645	16.3605831789816	16.0777699762695	15.7311694518986	15.9310930394824	16.2614903685241	16.0954720719915	16.2567723951396	16.282569269455	15.9907531701325	15.1632952562578	15.5164616386734	15.352723646711	15.7504166999673	15.1010965672699	15.5718057236181	17.1601965843187	16.9107266516495	16.6530696343354	17.1507746926021	16.977792457669	17.0156202037957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.8517818233717	16.0723366014179	15.9558734194203	16.1376066794085	16.1020581371278	16.5892844151829	16.4676120920468	16.9643522228317	16.1145731305551	16.2171930392815	16.1656880617552	16.1634366273728	16.6013471565282	16.6469084506468	16.6745943471495	16.4250014680322	16.4557173097831	16.3359445846791	16.5458983227309	16.5842578092188	16.4283302181002	16.3786226701713	16.5022972053533	16.7088588920086	16.4769105594425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
